date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:58:50	79144/79144	---M-Z	200	added ('OK')	text/html	etag:%2213528-62501638-c1a663b7f77a67b;gz%22	https://devsdesign.net/products/html/clenia/onepage3.html	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/onepage3.html	(from )
14:58:51	651/651	---M-Z	503	error ('Service%20Unavailable')	text/html	date:Mon,%2003%20Apr%202023%2012:58:45%20GMT	https://devsdesign.net/robots.txt		(from )
14:58:51	1511/1511	---M-Z	503	error ('Service%20Unavailable')	text/html	date:Mon,%2003%20Apr%202023%2012:58:46%20GMT	https://devsdesign.net/products/html/clenia/apple-touch-icon.png	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/apple-touch-icon.png	(from https://devsdesign.net/products/html/clenia/onepage3.html)
14:58:52	23229/23229	---M--	200	added ('OK')	image/png	etag:%225abd-62501638-74391c1cfbe33f04;;;%22	https://devsdesign.net/products/html/clenia/assets/images/fav.png	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/assets/images/fav.png	(from https://devsdesign.net/products/html/clenia/onepage3.html)
14:58:52	155845/155845	---M-Z	200	added ('OK')	text/css	etag:%22260c5-62501638-c3c488f9cb6f1be1;gz%22	https://devsdesign.net/products/html/clenia/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/assets/css/bootstrap.min.css	(from https://devsdesign.net/products/html/clenia/onepage3.html)
14:58:54	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%22791c-62501638-23ac710f2e0281;gz%22	https://devsdesign.net/products/html/clenia/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/assets/css/font-awesome.min.css	(from https://devsdesign.net/products/html/clenia/onepage3.html)
14:58:54	31409/31409	---M-Z	200	added ('OK')	text/css	etag:%227ab1-62501638-6cb6327846b777;gz%22	https://devsdesign.net/products/html/clenia/assets/css/uicons-regular-rounded.css	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/assets/css/uicons-regular-rounded.css	(from https://devsdesign.net/products/html/clenia/onepage3.html)
14:58:54	3319/3319	---M-Z	200	added ('OK')	text/css	etag:%22cf7-62501638-6f707cac3d6b6d88;gz%22	https://devsdesign.net/products/html/clenia/assets/fonts/flaticon.css	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/assets/fonts/flaticon.css	(from https://devsdesign.net/products/html/clenia/onepage3.html)
14:58:55	74602/74602	---M-Z	200	added ('OK')	text/css	etag:%221236a-62501638-63abec1e67e8afa5;gz%22	https://devsdesign.net/products/html/clenia/assets/css/animate.css	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/assets/css/animate.css	(from https://devsdesign.net/products/html/clenia/onepage3.html)
14:58:55	4028/4028	---M-Z	200	added ('OK')	text/css	etag:%22fbc-62501638-b048160a78ebb86a;gz%22	https://devsdesign.net/products/html/clenia/assets/css/owl.carousel.css	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/assets/css/owl.carousel.css	(from https://devsdesign.net/products/html/clenia/onepage3.html)
14:58:56	7997/7997	---M-Z	200	added ('OK')	text/css	etag:%221f3d-62501638-201859982dfb9721;gz%22	https://devsdesign.net/products/html/clenia/assets/css/off-canvas.css	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/assets/css/off-canvas.css	(from https://devsdesign.net/products/html/clenia/onepage3.html)
14:58:56	7306/7306	---M-Z	200	added ('OK')	text/css	etag:%221c8a-62501638-308c38d8311384cf;gz%22	https://devsdesign.net/products/html/clenia/assets/css/magnific-popup.css	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/assets/css/magnific-popup.css	(from https://devsdesign.net/products/html/clenia/onepage3.html)
14:58:57	16623/16623	---M-Z	200	added ('OK')	text/css	etag:%2240ef-62501638-6bc29d0c6592e6ff;gz%22	https://devsdesign.net/products/html/clenia/assets/css/rsmenu-main.css	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/assets/css/rsmenu-main.css	(from https://devsdesign.net/products/html/clenia/onepage3.html)
14:58:57	4082/4082	---M-Z	200	added ('OK')	text/css	etag:%22ff2-62501638-713f84eafa0236ca;gz%22	https://devsdesign.net/products/html/clenia/assets/inc/custom-slider/css/nivo-slider.css	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/assets/inc/custom-slider/css/nivo-slider.css	(from https://devsdesign.net/products/html/clenia/onepage3.html)
14:58:58	4772/4772	---M-Z	200	added ('OK')	text/css	etag:%2212a4-62501638-e86b55b07a03b9c1;gz%22	https://devsdesign.net/products/html/clenia/assets/inc/custom-slider/css/preview.css	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/assets/inc/custom-slider/css/preview.css	(from https://devsdesign.net/products/html/clenia/onepage3.html)
14:58:58	253240/253240	---M-Z	200	added ('OK')	text/css	etag:%223dd38-62501638-76a75b0333ce4e0f;gz%22	https://devsdesign.net/products/html/clenia/assets/css/rs-spacing.css	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/assets/css/rs-spacing.css	(from https://devsdesign.net/products/html/clenia/onepage3.html)
14:58:59	49602/49602	---M-Z	200	added ('OK')	text/css	etag:%22c1c2-62501638-8344d61b588f7dbc;gz%22	https://devsdesign.net/products/html/clenia/assets/css/responsive.css	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/assets/css/responsive.css	(from https://devsdesign.net/products/html/clenia/onepage3.html)
14:58:59	195646/195646	---M-Z	200	added ('OK')	text/css	etag:%222fc3e-62501638-f5de474c65b5f48c;gz%22	https://devsdesign.net/products/html/clenia/style.css	C:/My%20Web%20Sites/last/devsdesign.net/products/html/clenia/style.css	(from https://devsdesign.net/products/html/clenia/onepage3.html)
